epoch,train_loss,val_loss,train_acc,val_acc
0.0,1.6993254414440069,1.4819204533686403,0.2933,0.4426
1.0,1.4359163263418382,1.1789584042596035,0.5005,0.6516
2.0,1.287802784112248,1.1241336630993202,0.5484,0.6557
3.0,1.2296224562791145,1.0165966983701362,0.5807,0.6885
4.0,1.161002407978921,0.9793676646029364,0.5890,0.6844
5.0,1.1461507081985474,0.9640745608533016,0.5876,0.6967
6.0,1.1302332756293079,0.906902470549599,0.5912,0.7172
7.0,1.1208894618236236,0.9151200603266232,0.5684,0.7090
8.0,1.0964644303287032,0.8951925156546421,0.5940,0.7254
9.0,1.0603677504254083,0.8931291474670661,0.6223,0.6967
10.0,1.0659951563299137,0.875298731639737,0.6058,0.7172
11.0,1.0410035979138674,0.8622789851954726,0.6273,0.7295
12.0,1.0195124131919693,0.8525163423819621,0.6200,0.7090
13.0,1.033583963004342,0.8635345081814,0.6204,0.7131
14.0,1.0178660537204602,0.8278084739309842,0.6282,0.7172
15.0,0.9917628234320314,0.8470702992110956,0.6309,0.7254
16.0,1.0033834798492651,0.8359561982702036,0.6255,0.7090
17.0,0.9771864214082704,0.8303888596472193,0.6350,0.7131
18.0,0.9676733460739582,0.8317263126373291,0.6501,0.7213
19.0,0.9862078663206448,0.8140202164649963,0.6250,0.7172
20.0,0.9843514035217952,0.820206344127655,0.6259,0.7172
21.0,0.9564953294113604,0.8056390432060742,0.6451,0.7213
22.0,0.9670210998423778,0.7964628319271275,0.6323,0.7172
23.0,0.9759843941152532,0.792817162685707,0.6355,0.7295
24.0,0.9622272270439316,0.8005172414857833,0.6391,0.7336
25.0,0.9584351395168444,0.7974963383596452,0.6401,0.7295
26.0,0.9407977366099392,0.8008333356654058,0.6592,0.7254
27.0,0.9514407197924426,0.7972111858305384,0.6483,0.7295
28.0,0.9399655865926811,0.7883907038657392,0.6428,0.7254
29.0,0.9635056191987365,0.8214221694430367,0.6382,0.7254
30.0,0.9402068096355799,0.7846574881037728,0.6483,0.7254
31.0,0.9104276121097759,0.7892415191306442,0.6647,0.7377
32.0,0.9342312038379864,0.7781899532333749,0.6651,0.7213
33.0,0.9225452720683855,0.7815052974419515,0.6624,0.7254
34.0,0.9230684303019168,0.7857563984198649,0.6610,0.7213
35.0,0.9227294086539832,0.7776478372636388,0.6615,0.7336
36.0,0.8975109062055602,0.7685851034570913,0.6656,0.7336
37.0,0.9106517621200452,0.8016188164226344,0.6505,0.7336
38.0,0.9243194830678676,0.7657178210430458,0.6483,0.7336
39.0,0.8962913168607837,0.7918686866760254,0.6693,0.7377
40.0,0.8781123148263806,0.7724878768451878,0.6766,0.7336
41.0,0.9039208497444208,0.7651406360454247,0.6524,0.7213
42.0,0.8885272288844533,0.7744327910610886,0.6551,0.7254
43.0,0.9149271728348558,0.7681233775420268,0.6542,0.7295
44.0,0.910095848306252,0.7785772505353709,0.6629,0.7377
45.0,0.8925384735539011,0.7618075609207153,0.6688,0.7254
46.0,0.9100322662478816,0.7755118500990946,0.6569,0.7254
47.0,0.8844304171791912,0.7832417507640651,0.6711,0.7295
48.0,0.8768245386381219,0.7585901129441183,0.6747,0.7254
49.0,0.8668434150027533,0.7854271589732561,0.6724,0.7254
50.0,0.8716588594617635,0.7707029053422271,0.6784,0.7131
51.0,0.880381720779586,0.7784708386561909,0.6620,0.7295
52.0,0.8459479399841198,0.770094066369729,0.6816,0.7336
53.0,0.9076630103327062,0.7861792171587709,0.6633,0.7172
54.0,0.8421481491005334,0.7665447065087615,0.6957,0.7254
55.0,0.8820928335189819,0.7622963649327638,0.6752,0.7172
56.0,0.8643107731846997,0.7576238503221606,0.6816,0.7336
57.0,0.876481322911534,0.7559117186264913,0.6661,0.7295
58.0,0.8841039568838411,0.7686154686036657,0.6797,0.7254
59.0,0.8838950969877034,0.7684403804482006,0.6647,0.7377
60.0,0.851487945466146,0.7713298797607422,0.6784,0.7213
61.0,0.8807118482833362,0.7698544302924735,0.6592,0.7254
62.0,0.8593515340429153,0.7686482433412896,0.6880,0.7336
63.0,0.8703972518879132,0.7612164196420889,0.6711,0.7295
64.0,0.8671098033877185,0.7588359342246759,0.6797,0.7172
65.0,0.8646600751111108,0.7717443421238759,0.6679,0.7336
66.0,0.8839671468212656,0.7659175640246907,0.6647,0.7336
67.0,0.8474154006825746,0.7651176120414108,0.6761,0.7418
