epoch,train_loss,val_loss,train_acc,val_acc
0.0,1.745545970262402,1.6241279938181892,0.2518,0.3443
1.0,1.5737210642682375,1.4165744742409128,0.4088,0.4959
2.0,1.4534882698615972,1.3562004038544953,0.4589,0.5246
3.0,1.3436128457967382,1.267045341554235,0.5237,0.5697
4.0,1.302557966134844,1.211417544083517,0.5456,0.5451
5.0,1.2481331616422555,1.2667651625930283,0.5593,0.5082
6.0,1.2078579559813452,1.1485590133510652,0.5671,0.5861
7.0,1.2029395503719358,1.1440792337792818,0.5598,0.5779
8.0,1.1570500779325943,1.1789781617336583,0.5858,0.5328
9.0,1.1662664761508468,1.126164237006766,0.5671,0.5615
10.0,1.134713909921855,1.1111457015647264,0.5835,0.5656
11.0,1.1237700585901302,1.1177848010766702,0.5976,0.5615
12.0,1.151813516651627,1.0888606153550695,0.5712,0.5984
13.0,1.0970963265774023,1.0687246693939458,0.5903,0.582
14.0,1.1413590046611146,1.1168658870165464,0.5753,0.5451
15.0,1.0858402756878929,1.0911462287433813,0.599,0.5574
16.0,1.0838155607237434,1.058278865501529,0.6017,0.582
17.0,1.0715587722123974,1.0694978549832204,0.6054,0.5984
18.0,1.0613701247820888,1.04954821946191,0.6036,0.6107
19.0,1.0855995843010229,1.054090925904571,0.5835,0.582
20.0,1.0531665217267336,1.0732400827720516,0.6241,0.5861
21.0,1.0475971533434234,1.0705875842297663,0.6191,0.5779
22.0,1.046354548339426,1.0588143575386924,0.6145,0.5902
23.0,1.0426334360220135,1.0420691986553003,0.6045,0.5943
24.0,1.0037669026068528,1.0506114686121706,0.6305,0.6025
25.0,1.003600173187952,1.0363195626462092,0.6241,0.6107
26.0,1.0306849244737275,1.0404002373335792,0.6036,0.6189
27.0,1.0261013029265578,1.0782690439067903,0.6209,0.5779
28.0,1.0032535095284456,1.0253481376366538,0.6341,0.6107
29.0,0.9997087338545028,1.0235603696010152,0.6273,0.5984
30.0,1.0097680526928308,1.041735088238951,0.6309,0.6025
31.0,1.0176771818286312,1.0088807168554088,0.6214,0.6107
32.0,0.9994442075708486,1.0386802290306716,0.6373,0.6066
33.0,1.0025140743186003,1.0233117322452734,0.6332,0.6189
34.0,0.9888913831571592,1.0385034670595263,0.6291,0.5984
35.0,0.9765231774671236,1.007407696520696,0.6401,0.6393
36.0,0.9838247046853504,1.0401102089491048,0.6414,0.5902
37.0,0.9701867416827348,1.0090203099563473,0.6359,0.6311
38.0,0.9715903640663536,1.0155725166445873,0.6451,0.623
39.0,0.981032900131532,0.99456295810762,0.6396,0.627
40.0,0.9856369512794662,1.0424394294863841,0.6483,0.6189
41.0,0.9912810168997216,1.0261454132736707,0.6341,0.6148
42.0,0.9453613114182966,1.0028367521332913,0.6578,0.623
43.0,0.9684761666903532,1.0307458854112468,0.6373,0.5943
44.0,0.9643082013965524,1.0139498202527155,0.6478,0.6189
45.0,0.9563132446177685,0.9836390096633159,0.6446,0.6393
46.0,0.9483524917686073,1.0028423823294093,0.662,0.627
47.0,0.9363319164645064,1.001748924372626,0.6496,0.6189
48.0,0.9521042047625908,1.0425362332922514,0.6487,0.5861
49.0,0.9616627536550926,1.0246781247561094,0.6414,0.6107
50.0,0.9327405595431364,0.9935122298412636,0.6556,0.627
51.0,0.9284100262788092,0.9792699608646456,0.6569,0.6475
52.0,0.9352198943604518,0.9781210139149524,0.6633,0.6516
53.0,0.9376244666802622,1.0308498730424975,0.6597,0.6107
54.0,0.9350968599319458,1.0072057423044425,0.6483,0.6148
55.0,0.9405021006173461,1.0001014695792902,0.6401,0.627
56.0,0.9607576662606566,1.0046189241721981,0.6464,0.5943
57.0,0.9363063843580928,0.9992708739687184,0.662,0.6148
58.0,0.9361399795017104,1.0286875709158476,0.6537,0.6066
59.0,0.9527355554330088,1.0018381642513587,0.6442,0.6189
60.0,0.9297277579342362,0.9903301792066606,0.6492,0.627
61.0,0.9043403807347709,0.9841428115719656,0.6752,0.6107
62.0,0.9378896320823336,0.9895862155273312,0.6574,0.6148
