epoch,train_loss,val_loss,train_acc,val_acc
0.0,1.7824056157230457,1.707208502488058,0.2176,0.2746
1.0,1.6554063558578491,1.6063193063266945,0.3568,0.3689
2.0,1.5732084129848618,1.4946909439368326,0.4092,0.4467
3.0,1.4864854934441782,1.390172182536516,0.4589,0.5082
4.0,1.411613419108147,1.4099960288063424,0.4872,0.4959
5.0,1.3793474383597826,1.3372707699165969,0.4964,0.5
6.0,1.3432965818112783,1.3326265206102466,0.5114,0.5
7.0,1.3087964780139227,1.319225694312424,0.5306,0.4918
8.0,1.2736290658477452,1.318728048293317,0.5433,0.4918
9.0,1.26430661225841,1.2418112149004077,0.5401,0.5451
10.0,1.2512842599492873,1.243829285512205,0.5347,0.5328
11.0,1.2330643956678626,1.2350282493184823,0.542,0.5492
12.0,1.2057521421543873,1.1898828080443085,0.5502,0.5533
13.0,1.1759852049124502,1.198983407411419,0.5748,0.5533
14.0,1.1737785321952652,1.188294651078396,0.5757,0.5615
15.0,1.1677077095003894,1.2013303569105804,0.5798,0.5533
16.0,1.1609925988816867,1.204630754033073,0.5771,0.5533
17.0,1.148724227926157,1.1526840260771454,0.5862,0.5656
18.0,1.1515624505760025,1.1697593399735748,0.5839,0.5615
19.0,1.1162578354786783,1.192903968154407,0.5835,0.541
20.0,1.1271239162361535,1.1452522473257096,0.5876,0.5574
21.0,1.0868400091672463,1.1498633759920711,0.6054,0.5533
22.0,1.0978206622339512,1.1131062742139473,0.6013,0.5861
23.0,1.1314049297875732,1.1695229440438943,0.5648,0.5533
24.0,1.0878210537625057,1.1256442070007324,0.6077,0.5656
25.0,1.0977607182342641,1.1498697820256971,0.6063,0.5451
26.0,1.0793834393911987,1.1638551794114658,0.6118,0.541
27.0,1.0615395581635243,1.0992297090467855,0.6186,0.5779
28.0,1.0806981551386143,1.1432895816740445,0.6131,0.5779
29.0,1.1294418147010523,1.1119232412244453,0.5849,0.582
30.0,1.0745378680472826,1.1684492513781688,0.6141,0.5369
31.0,1.0675676826142917,1.1416520505655008,0.6031,0.5738
32.0,1.057511535439178,1.0985832663833115,0.6131,0.5697
33.0,1.0655232145838494,1.1219491079205373,0.6077,0.5697
34.0,1.0904972688124999,1.109965564774685,0.5944,0.5779
35.0,1.0449048515653958,1.109597020461911,0.6264,0.582
36.0,1.0729901538278064,1.1220893019535505,0.6141,0.5533
37.0,1.023814551151582,1.092676272157763,0.6291,0.582
38.0,1.0445654840364944,1.153601402142009,0.609,0.5533
39.0,1.0428861579755797,1.1090567952296773,0.6109,0.5738
40.0,1.0419640528024547,1.0720007888606338,0.6045,0.6025
41.0,1.0613283388806083,1.1039617804230235,0.6086,0.5656
42.0,1.052400520683205,1.0763060010847498,0.6145,0.5861
43.0,1.0186211784390635,1.1001181876073118,0.6309,0.5738
44.0,1.020520202434846,1.0842834144342142,0.6255,0.5984
45.0,1.0609557002130217,1.0718709445390544,0.6058,0.5861
46.0,1.0570431203737751,1.0989594264108626,0.6031,0.5656
47.0,1.0185730901077716,1.103542968875072,0.6063,0.5861
48.0,1.0332484184390438,1.1089932019593285,0.6218,0.5656
49.0,0.9902707159954266,1.075956497036043,0.641,0.582
50.0,0.9884598168143393,1.1307604156556677,0.6332,0.5656
51.0,1.0387985393078658,1.0795222032265586,0.6072,0.5779
52.0,1.0229877398832,1.0766432031256254,0.6218,0.5738
53.0,0.9860547502545544,1.0929289372240911,0.6401,0.5779
54.0,0.9828902944161074,1.0988412431029022,0.6296,0.582
55.0,1.0242454170310584,1.0883723477848242,0.6273,0.582
