,epoch,train_loss,val_loss,train_acc,val_acc
0,38.0,0.9243194830678675,0.7657178210430458,"tensor(0.6483, device='cuda:0', dtype=torch.float64)","tensor(0.7336, device='cuda:0', dtype=torch.float64)"
0,39.0,0.8962913168607837,0.7918686866760254,"tensor(0.6693, device='cuda:0', dtype=torch.float64)","tensor(0.7377, device='cuda:0', dtype=torch.float64)"
0,40.0,0.8781123148263806,0.7724878768451878,"tensor(0.6766, device='cuda:0', dtype=torch.float64)","tensor(0.7336, device='cuda:0', dtype=torch.float64)"
0,41.0,0.9039208497444209,0.7651406360454247,"tensor(0.6524, device='cuda:0', dtype=torch.float64)","tensor(0.7213, device='cuda:0', dtype=torch.float64)"
0,42.0,0.8885272288844533,0.7744327910610886,"tensor(0.6551, device='cuda:0', dtype=torch.float64)","tensor(0.7254, device='cuda:0', dtype=torch.float64)"
0,43.0,0.9149271728348558,0.7681233775420268,"tensor(0.6542, device='cuda:0', dtype=torch.float64)","tensor(0.7295, device='cuda:0', dtype=torch.float64)"
0,44.0,0.9100958483062521,0.7785772505353709,"tensor(0.6629, device='cuda:0', dtype=torch.float64)","tensor(0.7377, device='cuda:0', dtype=torch.float64)"
0,45.0,0.8925384735539011,0.7618075609207153,"tensor(0.6688, device='cuda:0', dtype=torch.float64)","tensor(0.7254, device='cuda:0', dtype=torch.float64)"
0,46.0,0.9100322662478816,0.7755118500990946,"tensor(0.6569, device='cuda:0', dtype=torch.float64)","tensor(0.7254, device='cuda:0', dtype=torch.float64)"
0,47.0,0.8844304171791912,0.7832417507640651,"tensor(0.6711, device='cuda:0', dtype=torch.float64)","tensor(0.7295, device='cuda:0', dtype=torch.float64)"
0,48.0,0.8768245386381219,0.7585901129441183,"tensor(0.6747, device='cuda:0', dtype=torch.float64)","tensor(0.7254, device='cuda:0', dtype=torch.float64)"
0,49.0,0.8668434150027533,0.7854271589732561,"tensor(0.6724, device='cuda:0', dtype=torch.float64)","tensor(0.7254, device='cuda:0', dtype=torch.float64)"
0,50.0,0.8716588594617635,0.7707029053422271,"tensor(0.6784, device='cuda:0', dtype=torch.float64)","tensor(0.7131, device='cuda:0', dtype=torch.float64)"
0,51.0,0.880381720779586,0.7784708386561909,"tensor(0.6620, device='cuda:0', dtype=torch.float64)","tensor(0.7295, device='cuda:0', dtype=torch.float64)"
0,52.0,0.8459479399841198,0.770094066369729,"tensor(0.6816, device='cuda:0', dtype=torch.float64)","tensor(0.7336, device='cuda:0', dtype=torch.float64)"
0,53.0,0.9076630103327062,0.7861792171587709,"tensor(0.6633, device='cuda:0', dtype=torch.float64)","tensor(0.7172, device='cuda:0', dtype=torch.float64)"
0,54.0,0.8421481491005334,0.7665447065087615,"tensor(0.6957, device='cuda:0', dtype=torch.float64)","tensor(0.7254, device='cuda:0', dtype=torch.float64)"
0,55.0,0.8820928335189819,0.7622963649327638,"tensor(0.6752, device='cuda:0', dtype=torch.float64)","tensor(0.7172, device='cuda:0', dtype=torch.float64)"
0,56.0,0.8643107731846997,0.7576238503221606,"tensor(0.6816, device='cuda:0', dtype=torch.float64)","tensor(0.7336, device='cuda:0', dtype=torch.float64)"
0,57.0,0.876481322911534,0.7559117186264913,"tensor(0.6661, device='cuda:0', dtype=torch.float64)","tensor(0.7295, device='cuda:0', dtype=torch.float64)"
0,58.0,0.8841039568838411,0.7686154686036657,"tensor(0.6797, device='cuda:0', dtype=torch.float64)","tensor(0.7254, device='cuda:0', dtype=torch.float64)"
0,59.0,0.8838950969877034,0.7684403804482006,"tensor(0.6647, device='cuda:0', dtype=torch.float64)","tensor(0.7377, device='cuda:0', dtype=torch.float64)"
0,60.0,0.851487945466146,0.7713298797607422,"tensor(0.6784, device='cuda:0', dtype=torch.float64)","tensor(0.7213, device='cuda:0', dtype=torch.float64)"
0,61.0,0.8807118482833362,0.7698544302924735,"tensor(0.6592, device='cuda:0', dtype=torch.float64)","tensor(0.7254, device='cuda:0', dtype=torch.float64)"
0,62.0,0.8593515340429153,0.7686482433412896,"tensor(0.6880, device='cuda:0', dtype=torch.float64)","tensor(0.7336, device='cuda:0', dtype=torch.float64)"
0,63.0,0.8703972518879132,0.7612164196420889,"tensor(0.6711, device='cuda:0', dtype=torch.float64)","tensor(0.7295, device='cuda:0', dtype=torch.float64)"
0,64.0,0.8671098033877185,0.7588359342246759,"tensor(0.6797, device='cuda:0', dtype=torch.float64)","tensor(0.7172, device='cuda:0', dtype=torch.float64)"
0,65.0,0.8646600751111108,0.7717443421238759,"tensor(0.6679, device='cuda:0', dtype=torch.float64)","tensor(0.7336, device='cuda:0', dtype=torch.float64)"
0,66.0,0.8839671468212656,0.7659175640246907,"tensor(0.6647, device='cuda:0', dtype=torch.float64)","tensor(0.7336, device='cuda:0', dtype=torch.float64)"
0,67.0,0.8474154006825746,0.7651176120414108,"tensor(0.6761, device='cuda:0', dtype=torch.float64)","tensor(0.7418, device='cuda:0', dtype=torch.float64)"
0,68.0,0.8557340241696713,0.7660805436431385,"tensor(0.6852, device='cuda:0', dtype=torch.float64)","tensor(0.7254, device='cuda:0', dtype=torch.float64)"
0,69.0,0.8397832786949881,0.772922869588508,"tensor(0.6866, device='cuda:0', dtype=torch.float64)","tensor(0.7172, device='cuda:0', dtype=torch.float64)"
0,70.0,0.8586571033853684,0.7727649338909837,"tensor(0.6866, device='cuda:0', dtype=torch.float64)","tensor(0.7254, device='cuda:0', dtype=torch.float64)"
0,71.0,0.8386835843107127,0.7731077485397214,"tensor(0.6880, device='cuda:0', dtype=torch.float64)","tensor(0.7377, device='cuda:0', dtype=torch.float64)"
0,72.0,0.8885904437434065,0.7678140333441438,"tensor(0.6729, device='cuda:0', dtype=torch.float64)","tensor(0.7213, device='cuda:0', dtype=torch.float64)"
